repo_id;created_date;updated_date;pushed_date;contributions;contributor_1_id;contributor_2_id
157678131;2018-11-15T08:33:26Z;2020-05-20T15:21:14Z;2020-05-20T15:21:12Z;125;2532225;26227737
157678131;2018-11-15T08:33:26Z;2020-05-20T15:21:14Z;2020-05-20T15:21:12Z;119;2532225;11554700
157678131;2018-11-15T08:33:26Z;2020-05-20T15:21:14Z;2020-05-20T15:21:12Z;118;2532225;25743169
157678131;2018-11-15T08:33:26Z;2020-05-20T15:21:14Z;2020-05-20T15:21:12Z;14;11554700;26227737
157678131;2018-11-15T08:33:26Z;2020-05-20T15:21:14Z;2020-05-20T15:21:12Z;13;25743169;26227737
157678131;2018-11-15T08:33:26Z;2020-05-20T15:21:14Z;2020-05-20T15:21:12Z;7;11554700;25743169
26012785;2014-10-31T11:01:01Z;2014-09-03T14:21:04Z;2014-10-30T07:29:06Z;311;2688992;2694082
26012785;2014-10-31T11:01:01Z;2014-09-03T14:21:04Z;2014-10-30T07:29:06Z;230;2694082;2723615
26012785;2014-10-31T11:01:01Z;2014-09-03T14:21:04Z;2014-10-30T07:29:06Z;219;2694082;5593376
26012785;2014-10-31T11:01:01Z;2014-09-03T14:21:04Z;2014-10-30T07:29:06Z;105;2688992;2723615
26012785;2014-10-31T11:01:01Z;2014-09-03T14:21:04Z;2014-10-30T07:29:06Z;94;2688992;5593376
26012785;2014-10-31T11:01:01Z;2014-09-03T14:21:04Z;2014-10-30T07:29:06Z;13;2723615;5593376
163513344;2018-12-29T13:30:38Z;2018-12-29T13:30:54Z;2018-12-28T13:10:11Z;11197;6599;378297
163513344;2018-12-29T13:30:38Z;2018-12-29T13:30:54Z;2018-12-28T13:10:11Z;9971;378297;1089203
163513344;2018-12-29T13:30:38Z;2018-12-29T13:30:54Z;2018-12-28T13:10:11Z;8930;378297;6279926
163513344;2018-12-29T13:30:38Z;2018-12-29T13:30:54Z;2018-12-28T13:10:11Z;7702;378297;3400200
163513344;2018-12-29T13:30:38Z;2018-12-29T13:30:54Z;2018-12-28T13:10:11Z;6773;378297;37258283
163513344;2018-12-29T13:30:38Z;2018-12-29T13:30:54Z;2018-12-28T13:10:11Z;6681;378297;8298220
163513344;2018-12-29T13:30:38Z;2018-12-29T13:30:54Z;2018-12-28T13:10:11Z;6565;201627;378297
163513344;2018-12-29T13:30:38Z;2018-12-29T13:30:54Z;2018-12-28T13:10:11Z;6534;141020;378297
163513344;2018-12-29T13:30:38Z;2018-12-29T13:30:54Z;2018-12-28T13:10:11Z;6452;378297;3524784
163513344;2018-12-29T13:30:38Z;2018-12-29T13:30:54Z;2018-12-28T13:10:11Z;6433;378297;1485263
163513344;2018-12-29T13:30:38Z;2018-12-29T13:30:54Z;2018-12-28T13:10:11Z;6356;46793;378297
163513344;2018-12-29T13:30:38Z;2018-12-29T13:30:54Z;2018-12-28T13:10:11Z;6279;282697;378297
163513344;2018-12-29T13:30:38Z;2018-12-29T13:30:54Z;2018-12-28T13:10:11Z;6188;378297;1172125
163513344;2018-12-29T13:30:38Z;2018-12-29T13:30:54Z;2018-12-28T13:10:11Z;6055;378297;380088
163513344;2018-12-29T13:30:38Z;2018-12-29T13:30:54Z;2018-12-28T13:10:11Z;6047;176950;378297
163513344;2018-12-29T13:30:38Z;2018-12-29T13:30:54Z;2018-12-28T13:10:11Z;6047;378297;7582443
