first_number,second_number,date,how_many
66,1773420,2018,2
66,2051936,2018,2
66,2247190,2018,2
66,2255785,2016,3
66,2255789,2016,3
66,2436678,2018,2
66,2520602,2018,2
66,2594003,2018,2
70,452,2005,2
70,7883,2005,2
70,41202,2010,2
70,48140,2008,2
70,48271,2005,4
70,95951,2008,2
70,129360,2005,3
70,152448,2017,2
70,157151,2013,2
70,174042,2008,4
70,237005,2010,2
70,283823,2013,2
70,345856,2005,2
70,378512,2010,2
70,379936,2008,3
70,480227,2010,4
70,597253,2013,2
70,607545,2013,3
70,810790,2013,3
70,874814,2013,3
70,875162,2017,2
70,1234504,2013,2
70,1516737,2017,2
70,1705081,2013,2
79,456,2019,2
79,7592,2018,2
79,42587,2018,2
79,48271,2019,2
79,50212,2012,3
79,130576,2012,3
79,131415,2014,2
79,204873,2012,3
79,393348,2014,3
79,481520,2012,3
79,828862,2014,4
79,1078556,2019,2
79,1103258,2019,2
79,1570944,2014,2
79,1676494,2014,2
79,1953048,2018,2
81,7592,2018,2
81,7896,2006,2
81,31716,2006,3
81,40239,2006,3
81,40720,2006,2
81,42587,2017,4
81,47805,2014,2
81,60789,2010,2
81,69232,2006,4
81,74153,2010,2
81,74154,2009,2
81,86566,2006,5
81,89403,2006,2
81,91169,2015,3
81,109011,2006,3
81,114953,2006,3
81,115982,2006,2
81,121458,2005,2
81,121459,2005,2
81,129371,2009,2
81,130690,2006,2
81,139725,2006,4
81,143226,2009,2
81,152937,2009,4
81,157333,2006,2
81,164740,2006,2
81,188236,2015,2
81,204194,2006,2
81,204873,2017,2
81,209991,2018,2
81,237005,2017,2
81,243555,2019,2
81,264354,2006,2
81,379685,2006,3
81,411164,2010,3
81,423089,2008,2
81,433382,2006,2
81,464124,2006,3
81,464410,2006,2
81,470324,2016,3
81,480227,2017,2
81,492556,2010,3
81,539654,2018,2
81,582766,2010,2
81,595229,2006,4
81,615737,2017,2
81,643910,2006,3
81,899631,2010,2
81,947273,2018,2
81,948371,2018,3
81,953272,2017,2
81,1078556,2019,2
81,1103258,2019,2
81,1103781,2011,2
81,1705081,2017,2
81,2138065,2015,2
81,2192846,2018,2
81,2219791,2015,2
110,1620141,2014,2
224,261,2008,3
224,377,2009,2
224,10100,2011,2
224,54765,2009,2
224,99464,2008,2
224,108472,2009,2
224,121540,2009,3
224,147050,2009,2
224,174047,2009,2
224,317619,2009,2
224,377413,2009,2
224,389008,2012,2
224,572603,2012,2
224,629604,2009,3
224,629836,2009,3
224,873014,2009,2
228,3449,2007,3
228,5067,2008,2
228,6933,2005,5
228,8920,2006,2
228,31462,2012,2
228,40720,2011,2
228,42585,2007,2
228,49067,2008,6
228,49841,2008,3
228,57665,2008,2
228,58946,2011,2
228,66693,2008,3
228,71114,2007,2
228,86413,2013,2
228,91316,2009,2
228,95951,2005,3
228,95954,2005,3
228,99464,2012,3
228,115062,2005,3
228,121459,2006,8
228,121539,2008,3
228,129977,2005,2
