name;link;number
 Monika Bolly ;/person/Monika+Bolly-7961;7961
 Julia Hertmanowska ;/person/Julia+Hertmanowska-777158;777158
 Ewa Florczak ;/person/Ewa+Florczak-86469;86469
 Krystyna Chmielewska I ;/person/Krystyna+Chmielewska-52353;52353
 Marek Cichucki ;/person/Marek+Cichucki-31715;31715
 Ryszard Mróz ;/person/Ryszard+Mr%C3%B3z-43649;43649
 Michał Sobociński ;/person/Micha%C5%82+Soboci%C5%84ski-900919;900919
 Jakub Zdrójkowski ;/person/Jakub+Zdr%C3%B3jkowski-1149723;1149723
 Jan Holoubek ;/person/Jan+Holoubek-108806;108806
 Ewa Bukowska ;/person/Ewa+Bukowska-8727;8727
 Radosław Piwowarski ;/person/Rados%C5%82aw+Piwowarski-459;459
 Kacper Fertacz ;/person/Kacper+Fertacz-139127;139127
 Iga Mayr ;/person/Iga+Mayr-49731;49731
 Edward Kusztal ;/person/Edward+Kusztal-62156;62156
 Mikołaj Kubacki ;/person/Miko%C5%82aj+Kubacki-2515642;2515642
 Tomasz Hudziec ;/person/Tomasz+Hudziec-45865;45865
 Maciej Nawrocki II ;/person/Maciej+Nawrocki-897010;897010
 Magdalena Górska ;/person/Magdalena+G%C3%B3rska-158560;158560
 Łukasz Płoszajski ;/person/%C5%81ukasz+P%C5%82oszajski-157504;157504
 Maria Strzelecka ;/person/Maria+Strzelecka-365136;365136
 Andrzej Żółkiewski ;/person/Andrzej+%C5%BB%C3%B3%C5%82kiewski-63336;63336
 Antonina Choroszy ;/person/Antonina+Choroszy-76960;76960
 Jakub Mazurek ;/person/Jakub+Mazurek-612266;612266
 Stanisław Górka ;/person/Stanis%C5%82aw+G%C3%B3rka-63592;63592
 Jerzy Lipman ;/person/Jerzy+Lipman-11985;11985
 Marcin Piętowski ;/person/Marcin+Pi%C4%99towski-161321;161321
 Leszek Drogosz ;/person/Leszek+Drogosz-45868;45868
 Zbigniew Rybczyński I ;/person/Zbigniew+Rybczy%C5%84ski-409;409
 Jarosław Gajewski ;/person/Jaros%C5%82aw+Gajewski-86049;86049
 Leon Pietraszkiewicz ;/person/Leon+Pietraszkiewicz-48674;48674
 Barbara Sass ;/person/Barbara+Sass-42068;42068
 Aleksander Ihnatowicz ;/person/Aleksander+Ihnatowicz-3443;3443
 Agnieszka Judycka ;/person/Agnieszka+Judycka-513443;513443
 Marek Dyjak ;/person/Marek+Dyjak-71844;71844
 Jan Tadeusz Stanisławski ;/person/Jan+Tadeusz+Stanis%C5%82awski-79806;79806
 Halina Mikołajska ;/person/Halina+Miko%C5%82ajska-7110;7110
 Małgorzata Ostrowska-Królikowska ;/person/Ma%C5%82gorzata+Ostrowska+Kr%C3%B3likowska-8858;8858
 Bodo Kox ;/person/Bodo+Kox-137255;137255
 Barbara Wypych ;/person/Barbara+Wypych-2110168;2110168
 Maria Peszek ;/person/Maria+Peszek-150079;150079
 Andrzej Gazdeczka ;/person/Andrzej+Gazdeczka-61250;61250
 Janusz Sykutera ;/person/Janusz+Sykutera-49202;49202
 Kacper Habisiak ;/person/Kacper+Habisiak-828862;828862
 Jędrzej Taranek ;/person/J%C4%99drzej+Taranek-614193;614193
 Grażyna Długołęcka ;/person/Gra%C5%BCyna+D%C5%82ugo%C5%82%C4%99cka-62549;62549
 Norbert Rakowski ;/person/Norbert+Rakowski-156393;156393
 Andrzej Golejewski ;/person/Andrzej+Golejewski-7945;7945
 Xawery Żuławski ;/person/Xawery+%C5%BBu%C5%82awski-115062;115062
 Adam Krawczuk ;/person/Adam+Krawczuk-142643;142643
 Magdalena Biedrzycka ;/person/Magdalena+Biedrzycka-349882;349882
 Marcin Wolski ;/person/Marcin+Wolski-67917;67917
 Andrzej Grąziewicz ;/person/Andrzej+Gr%C4%85ziewicz-4291;4291
 Andrzej Sapkowski ;/person/Andrzej+Sapkowski-662294;662294
 Mikołaj Korzyński ;/person/Miko%C5%82aj+Korzy%C5%84ski-458;458
 Agata Pruchniewska ;/person/Agata+Pruchniewska-480227;480227
 Barbara Babilińska ;/person/Barbara+Babili%C5%84ska-109430;109430
 Paulina Lasota ;/person/Paulina+Lasota-2535546;2535546
 Jan Urbański ;/person/Jan+Urba%C5%84ski-6625;6625
 Aneta Todorczuk-Perchuć ;/person/Aneta+Todorczuk+Perchu%C4%87-209339;209339
 Magdalena Żak III ;/person/Magdalena+%C5%BBak-2240099;2240099
 Agnieszka Fitkau-Perepeczko ;/person/Agnieszka+Fitkau+Perepeczko-4094;4094
 Jolanta Piętek-Górecka ;/person/Jolanta+Pi%C4%99tek+G%C3%B3recka-60229;60229
 Andrzej Tomecki ;/person/Andrzej+Tomecki-64038;64038
 Zbigniew Korepta ;/person/Zbigniew+Korepta-72510;72510
 Jadwiga Smosarska ;/person/Jadwiga+Smosarska-64168;64168
 Ewa Żukowska I ;/person/Ewa+%C5%BBukowska-56898;56898
 Grzegorz Wolf ;/person/Grzegorz+Wolf-223111;223111
 Robert Gliński ;/person/Robert+Gli%C5%84ski-10545;10545
 Jadwiga Skupnik ;/person/Jadwiga+Skupnik-7946;7946
 Katarzyna Kozak ;/person/Katarzyna+Kozak-68875;68875
 Zofia Słaboszowska ;/person/Zofia+S%C5%82aboszowska-48979;48979
 Krzysztof Kumor ;/person/Krzysztof+Kumor-60164;60164
 Robert Janowski ;/person/Robert+Janowski-3892;3892
 Michał Znicz ;/person/Micha%C5%82+Znicz-64158;64158
 Agnieszka Kotlarska ;/person/Agnieszka+Kotlarska-76146;76146
 Łukasz Talik ;/person/%C5%81ukasz+Talik-774459;774459
 Karina Seweryn ;/person/Karina+Seweryn-204870;204870
 Henryk Kuźniak ;/person/Henryk+Ku%C5%BAniak-12730;12730
 Michał Malinowski I ;/person/Micha%C5%82+Malinowski-86540;86540
 Anna Lucińska ;/person/Anna+Luci%C5%84ska-877802;877802
 Stanisław Łapiński ;/person/Stanis%C5%82aw+%C5%81api%C5%84ski-45004;45004
 Marcin Krzyształowicz ;/person/Marcin+Krzyszta%C5%82owicz-31852;31852
 Krzysztof Wach ;/person/Krzysztof+Wach-1138697;1138697
 Radosław Kaim ;/person/Rados%C5%82aw+Kaim-69498;69498
 Maciej Szary ;/person/Maciej+Szary-144557;144557
 Filip Zylber ;/person/Filip+Zylber-11900;11900
 Jerzy Mazur ;/person/Jerzy+Mazur-276518;276518
 Karolina Nolbrzak ;/person/Karolina+Nolbrzak-465222;465222
 Grażyna Strachota ;/person/Gra%C5%BCyna+Strachota-87693;87693
 Mateusz Nędza ;/person/Mateusz+N%C4%99dza-1903179;1903179
 Konrad Bugaj ;/person/Konrad+Bugaj-196992;196992
 Karina Kunkiewicz ;/person/Karina+Kunkiewicz-84181;84181
 Robert Ostolski ;/person/Robert+Ostolski-170327;170327
 Krzysztof Skarbiński ;/person/Krzysztof+Skarbi%C5%84ski-234806;234806
 Jerzy Nasierowski ;/person/Jerzy+Nasierowski-44368;44368
 Andrzej Glazer ;/person/Andrzej+Glazer-141782;141782
 Bogusław Wołoszański ;/person/Bogus%C5%82aw+Wo%C5%82osza%C5%84ski-434506;434506
 Zbigniew Kozłowski II ;/person/Zbigniew+Koz%C5%82owski-243880;243880
 Marek Włodarczyk II ;/person/Marek+W%C5%82odarczyk-87975;87975
 Zofia Rysiówna ;/person/Zofia+Rysi%C3%B3wna-6963;6963
 Andrzej Hrydzewicz ;/person/Andrzej+Hrydzewicz-48384;48384
 Tomasz Konecki ;/person/Tomasz+Konecki-40225;40225
 Marta Wierzbicka ;/person/Marta+Wierzbicka-545177;545177
 Monika Wierzbicka ;/person/Monika+Wierzbicka-283822;283822
 Piotr Nerlewski ;/person/Piotr+Nerlewski-1902753;1902753
 Jarosław Budnik ;/person/Jaros%C5%82aw+Budnik-161322;161322
 Fred Zinnemann ;/person/Fred+Zinnemann-45088;45088
 Magdalena Nieć ;/person/Magdalena+Nie%C4%87-498553;498553
 Aleksander Skowroński ;/person/Aleksander+Skowro%C5%84ski-270871;270871
 Tomasz Naumiuk ;/person/Tomasz+Naumiuk-333553;333553
 Jacek Petrycki ;/person/Jacek+Petrycki-12346;12346
 Paweł Maślona ;/person/Pawe%C5%82+Ma%C5%9Blona-1540097;1540097
 Agata Kryska ;/person/Agata+Kryska-60294;60294
 Gabriela Oberbek ;/person/Gabriela+Oberbek-1135945;1135945
 Henryk Sienkiewicz ;/person/Henryk+Sienkiewicz-666906;666906
 Konrad Morawski ;/person/Konrad+Morawski-56814;56814
 Danuta Nagórna ;/person/Danuta+Nag%C3%B3rna-48772;48772
 Teresa Gruber ;/person/Teresa+Gruber-11467;11467
 Andrzej Jurczak ;/person/Andrzej+Jurczak-48686;48686
 Sylwia Gliwa ;/person/Sylwia+Gliwa-50378;50378
 Wojciech Żogała ;/person/Wojciech+%C5%BBoga%C5%82a-48271;48271
 Dorota Bierkowska ;/person/Dorota+Bierkowska-62363;62363
 Krzysztof Grębski ;/person/Krzysztof+Gr%C4%99bski-582572;582572
 Wojciech Cejrowski ;/person/Wojciech+Cejrowski-729042;729042
 Jan Pęczek ;/person/Jan+P%C4%99czek-78445;78445
 Laura Breszka ;/person/Laura+Breszka-1145264;1145264
 Maja Barełkowska ;/person/Maja+Bare%C5%82kowska-60202;60202
 Joanna Domańska ;/person/Joanna+Doma%C5%84ska-285356;285356
 Piotr Pilitowski ;/person/Piotr+Pilitowski-146820;146820
 Marcin Bubółka ;/person/Marcin+Bub%C3%B3%C5%82ka-2492891;2492891
 Paweł Unrug ;/person/Pawe%C5%82+Unrug-62361;62361
 Anna Gzyra ;/person/Anna+Gzyra-513482;513482
 Mariusz Kuczewski ;/person/Mariusz+Kuczewski-1535620;1535620
 Sławomir Doliniec ;/person/S%C5%82awomir+Doliniec-779500;779500
 Zdzisław Szymański ;/person/Zdzis%C5%82aw+Szyma%C5%84ski-44370;44370
 Barbara Garstka ;/person/Barbara+Garstka-1584474;1584474
 Jerzy Sagan I ;/person/Jerzy+Sagan-50655;50655
 Wojciech Adamczyk ;/person/Wojciech+Adamczyk-108801;108801
 Magdalena Wróbel ;/person/Magdalena+Wr%C3%B3bel-287093;287093
 Antoni Jurasz ;/person/Antoni+Jurasz-56431;56431
 Magdalena Turczeniewicz ;/person/Magdalena+Turczeniewicz-547890;547890
 Andrzej Stockinger ;/person/Andrzej+Stockinger-149052;149052
 Andrzej Ramlau ;/person/Andrzej+Ramlau-12116;12116
 Maciej Żak ;/person/Maciej+%C5%BBak-134174;134174
 Mieczysław Fiodorow ;/person/Mieczys%C5%82aw+Fiodorow-4490;4490
 Stefan Bartik ;/person/Stefan+Bartik-8835;8835
 Małgorzata Braszka ;/person/Ma%C5%82gorzata+Braszka-392139;392139
 Maciej Kujawski ;/person/Maciej+Kujawski-274750;274750
 Aleksandra Justa ;/person/Aleksandra+Justa-119948;119948
 Dorota Deląg ;/person/Dorota+Del%C4%85g-84425;84425
 Antoni Fertner ;/person/Antoni+Fertner-49420;49420
 Piotr Bulcewicz ;/person/Piotr+Bulcewicz-1636433;1636433
 Krzysztof Prałat ;/person/Krzysztof+Pra%C5%82at-69499;69499
 Maciej Kowalewski ;/person/Maciej+Kowalewski-109152;109152
 Zdzisław Lubelski ;/person/Zdzis%C5%82aw+Lubelski-44367;44367
 Hanna Dunowska ;/person/Hanna+Dunowska-45970;45970
 Tomasz Dobrowolski I ;/person/Tomasz+Dobrowolski-11768;11768
 Andrzej Jakimowski ;/person/Andrzej+Jakimowski-96954;96954
 Karol Stępkowski ;/person/Karol+St%C4%99pkowski-86637;86637
 Agnieszka Czekańska ;/person/Agnieszka+Czeka%C5%84ska-51714;51714
 Małgorzata Drozd ;/person/Ma%C5%82gorzata+Drozd-85081;85081
 Andrzej Chichłowski ;/person/Andrzej+Chich%C5%82owski-59196;59196
 Aleksander Machalica ;/person/Aleksander+Machalica-86041;86041
 Mariusz Pilawski ;/person/Mariusz+Pilawski-59705;59705
 Hubert Urbański ;/person/Hubert+Urba%C5%84ski-163950;163950
 Dariusz Wieteska ;/person/Dariusz+Wieteska-1568245;1568245
 Krzysztof Pluskota ;/person/Krzysztof+Pluskota-317652;317652
 Katarzyna Chrzanowska ;/person/Katarzyna+Chrzanowska-59522;59522
 Kasia Walicka-Maimone ;/person/Kasia+Walicka+Maimone-396245;396245
 Piotr Wojtowicz ;/person/Piotr+Wojtowicz-11028;11028
 Jakub Żulczyk ;/person/Jakub+%C5%BBulczyk-1029856;1029856
 Maciej Gąsiorek ;/person/Maciej+G%C4%85siorek-143168;143168
 Ewa Milde ;/person/Ewa+Milde-56590;56590
 Michał Breitenwald ;/person/Micha%C5%82+Breitenwald-79974;79974
 Delfina Wilkońska ;/person/Delfina+Wilko%C5%84ska-86493;86493
 Anna Czartoryska ;/person/Anna+Czartoryska-138878;138878
 Sara Müldner ;/person/Sara+M%C3%BCldner-42585;42585
 Leszek Abrahamowicz ;/person/Leszek+Abrahamowicz-79987;79987
 Maciej Wojdyła ;/person/Maciej+Wojdy%C5%82a-80187;80187
 Rafał Szałajko ;/person/Rafa%C5%82+Sza%C5%82ajko-7592;7592
 Szymon Szurmiej ;/person/Szymon+Szurmiej-54550;54550
 Irena Byrska ;/person/Irena+Byrska-8611;8611
 Karolina Sobczak ;/person/Karolina+Sobczak-45557;45557
 Ewa Pokas ;/person/Ewa+Pokas-56490;56490
 Aleksander Gawroński ;/person/Aleksander+Gawro%C5%84ski-48182;48182
 Krzysztof Pyziak ;/person/Krzysztof+Pyziak-595229;595229
 Karolina Muszalak ;/person/Karolina+Muszalak-58225;58225
 Julia Chatys ;/person/Julia+Chatys-907571;907571
 Lidia Wysocka ;/person/Lidia+Wysocka-48406;48406
 Robert Kudelski ;/person/Robert+Kudelski-120287;120287
 Marek Litewka ;/person/Marek+Litewka-152087;152087
 Jan Hencz ;/person/Jan+Hencz-51040;51040
 Agnieszka Smoczyńska ;/person/Agnieszka+Smoczy%C5%84ska-207265;207265
 Piotr Jankowski I ;/person/Piotr+Jankowski-9651;9651
 Bartosz Prokopowicz ;/person/Bartosz+Prokopowicz-11897;11897
 Grażyna Marzec ;/person/Gra%C5%BCyna+Marzec-152909;152909
 Kamil Maćkowiak ;/person/Kamil+Ma%C4%87kowiak-117197;117197
 Tomasz Ciachorowski ;/person/Tomasz+Ciachorowski-972778;972778
 Jacek Wolszczak ;/person/Jacek+Wolszczak-5906;5906
 Agnieszka Kotulanka ;/person/Agnieszka+Kotulanka-77457;77457
 Emilia Dankwa ;/person/Emilia+Dankwa-1584351;1584351
 Zbigniew Filus ;/person/Zbigniew+Filus-48670;48670
 Agata Rzeszewska ;/person/Agata+Rzeszewska-61004;61004
 Sławomir Federowicz ;/person/S%C5%82awomir+Federowicz-8688;8688
 Andrzej Dobosz ;/person/Andrzej+Dobosz-6578;6578
 Marek Molak ;/person/Marek+Molak-173009;173009
 Anna Krotoska ;/person/Anna+Krotoska-2305395;2305395
 Ryszard Kluge ;/person/Ryszard+Kluge-150089;150089
 Robert Żołędziewski ;/person/Robert+%C5%BBo%C5%82%C4%99dziewski-129363;129363
 Witold Leszczyński ;/person/Witold+Leszczy%C5%84ski-12678;12678
 Julian Józef Antonisz ;/person/Julian+J%C3%B3zef+Antonisz-297438;297438
 Roger Karwiński ;/person/Roger+Karwi%C5%84ski-428220;428220
 Franciszek Brodniewicz ;/person/Franciszek+Brodniewicz-64183;64183
 Piotr Michalski II ;/person/Piotr+Michalski-86951;86951
 Dominika Sell ;/person/Dominika+Sell-208583;208583
 Stanisław Biczysko ;/person/Stanis%C5%82aw+Biczysko-76386;76386
 Grzegorz Mielczarek ;/person/Grzegorz+Mielczarek-706611;706611
 Elżbieta Panas ;/person/El%C5%BCbieta+Panas-59462;59462
 Jan Rybkowski ;/person/Jan+Rybkowski-12779;12779
 Zygmunt Listkiewicz ;/person/Zygmunt+Listkiewicz-46970;46970
 Anna Szarek ;/person/Anna+Szarek-1615203;1615203
 Tomasz Wasilewski III ;/person/Tomasz+Wasilewski-986205;986205
 Radosław Ładczuk ;/person/Rados%C5%82aw+%C5%81adczuk-207570;207570
 Mateusz Grydlik ;/person/Mateusz+Grydlik-65933;65933
 Krzysztof Fus ;/person/Krzysztof+Fus-51024;51024
 Tomasz Preniasz ;/person/Tomasz+Preniasz-5910;5910
 Igor Obłoza ;/person/Igor+Ob%C5%82oza-1100396;1100396
 Michał Nowaczyk ;/person/Micha%C5%82+Nowaczyk-212225;212225
 Przemysław Angerman ;/person/Przemys%C5%82aw+Angerman-114956;114956
 Maciej Konopiński ;/person/Maciej+Konopi%C5%84ski-52604;52604
 Jan Krzysztof Szczygieł ;/person/Jan+Krzysztof+Szczygie%C5%82-143173;143173
 Adam Hanuszkiewicz ;/person/Adam+Hanuszkiewicz-47818;47818
 Maciej Kosmala ;/person/Maciej+Kosmala-1649736;1649736
 Anna Pijanowska ;/person/Anna+Pijanowska-2058249;2058249
 Marta Markowicz ;/person/Marta+Markowicz-1751329;1751329
 Maria Maciejowska ;/person/Maria+Maciejowska-428221;428221
 Andrzej Munk ;/person/Andrzej+Munk-12813;12813
 Agnieszka Wielgosz ;/person/Agnieszka+Wielgosz-148067;148067
 Paweł Lucewicz ;/person/Pawe%C5%82+Lucewicz-675131;675131
 Popek ;/person/Popek-2451661;2451661
 Hanna Polk ;/person/Hanna+Polk-44453;44453
 Zofia Kucówna ;/person/Zofia+Kuc%C3%B3wna-8734;8734
 Dorota Gorjainow ;/person/Dorota+Gorjainow-164740;164740
 Stanisław Banasiuk ;/person/Stanis%C5%82aw+Banasiuk-165574;165574
 Dominika Kachlik ;/person/Dominika+Kachlik-2305735;2305735
 Agnieszka Przepiórska ;/person/Agnieszka+Przepi%C3%B3rska-156864;156864
 Anita Poddębniak ;/person/Anita+Podd%C4%99bniak-332898;332898
 Bartłomiej Nowosielski ;/person/Bart%C5%82omiej+Nowosielski-643910;643910
 Laura Łącz ;/person/Laura+%C5%81%C4%85cz-61469;61469
 Aleksandra Radwańska ;/person/Aleksandra+Radwa%C5%84ska-139643;139643
 Mariusz Krzemiński ;/person/Mariusz+Krzemi%C5%84ski-100969;100969
 Aleksandra Rojewska ;/person/Aleksandra+Rojewska-333907;333907
 Kaja Paschalska ;/person/Kaja+Paschalska-97451;97451
 Jadwiga Halina Gallowa ;/person/Jadwiga+Halina+Gallowa-597279;597279
 Halina Dobrowolska I ;/person/Halina+Dobrowolska-10833;10833
 Marcel Szytenchelm ;/person/Marcel+Szytenchelm-152871;152871
 Hanna Chojnacka ;/person/Hanna+Chojnacka-158549;158549
 Jarosław Sokół ;/person/Jaros%C5%82aw+Sok%C3%B3%C5%82-48180;48180
 Magdalena Warzecha ;/person/Magdalena+Warzecha-59650;59650
 Piotr Sobociński ;/person/Piotr+Soboci%C5%84ski-442;442
 Krzysztof Wieszczek ;/person/Krzysztof+Wieszczek-774992;774992
 Witold Holtz I ;/person/Witold+Holtz-8586;8586
 Aleksandra Zienkiewicz ;/person/Aleksandra+Zienkiewicz-121404;121404
 Karolina Bruchnicka ;/person/Karolina+Bruchnicka-2428815;2428815
 Elżbieta Okupska ;/person/El%C5%BCbieta+Okupska-151848;151848
 Aleksander Trąbczyński ;/person/Aleksander+Tr%C4%85bczy%C5%84ski-87846;87846
 Maria Pawłowska ;/person/Maria+Paw%C5%82owska-1851036;1851036
 Piotr Kąkolewski ;/person/Piotr+K%C4%85kolewski-83685;83685
 Krzysztof Zawadzki ;/person/Krzysztof+Zawadzki-260261;260261
 Marcjanna Lelek ;/person/Marcjanna+Lelek-307821;307821
 Arkadiusz Brykalski ;/person/Arkadiusz+Brykalski-461789;461789
 Michał Rogalski ;/person/Micha%C5%82+Rogalski-93706;93706
 Tomasz Piątkowski ;/person/Tomasz+Pi%C4%85tkowski-10102;10102
 Magdalena Rembacz ;/person/Magdalena+Rembacz-138716;138716
 Maciej Karpiński ;/person/Maciej+Karpi%C5%84ski-12091;12091
 Krzysztof Kalczyński ;/person/Krzysztof+Kalczy%C5%84ski-56762;56762
 Bogusław Kudłek ;/person/Bogus%C5%82aw+Kud%C5%82ek-157158;157158
 Andrzej Popiel III ;/person/Andrzej+Popiel-2368405;2368405
 Małgorzata Kozłowska II ;/person/Ma%C5%82gorzata+Koz%C5%82owska-1766252;1766252
 Tomasz Mędrzak ;/person/Tomasz+M%C4%99drzak-62616;62616
 Wojciech Marczewski ;/person/Wojciech+Marczewski-10482;10482
 Agnieszka Kowalska ;/person/Agnieszka+Kowalska-8847;8847
 Feliks Chmurkowski ;/person/Feliks+Chmurkowski-41784;41784
 Janusz Sosnowski ;/person/Janusz+Sosnowski-11026;11026
 Paweł Ferens ;/person/Pawe%C5%82+Ferens-626567;626567
 Michał Grzybowski ;/person/Micha%C5%82+Grzybowski-438022;438022
 Marcin Różalski II ;/person/Marcin+R%C3%B3%C5%BCalski-2292450;2292450
 Krzysztof Bochenek II ;/person/Krzysztof+Bochenek-101892;101892
 Jolanta Nowicka ;/person/Jolanta+Nowicka-57581;57581
 Grzegorz Kędzierski ;/person/Grzegorz+K%C4%99dzierski-10767;10767
 Wacław Warchoł ;/person/Wac%C5%82aw+Warcho%C5%82-926001;926001
 Marcin Walewski ;/person/Marcin+Walewski-232885;232885
 Aleksander Ścibor-Rylski ;/person/Aleksander+%C5%9Acibor+Rylski-12685;12685
 Roman Kosierkiewicz ;/person/Roman+Kosierkiewicz-61218;61218
 Marcin Kudełka ;/person/Marcin+Kude%C5%82ka-150771;150771
 Małgorzata Klara ;/person/Ma%C5%82gorzata+Klara-156747;156747
 Lucjan Dytrych ;/person/Lucjan+Dytrych-50656;50656
 Michał Rosa ;/person/Micha%C5%82+Rosa-10398;10398
 Waldemar Kownacki ;/person/Waldemar+Kownacki-6656;6656
 Krystian Domagała ;/person/Krystian+Domaga%C5%82a-174689;174689
 Katarzyna Maria Zielińska ;/person/Katarzyna+Maria+Zieli%C5%84ska-109011;109011
 Tomasz Olejnik ;/person/Tomasz+Olejnik-1306148;1306148
 Aleksandra Gietner ;/person/Aleksandra+Gietner-45556;45556
 Błażej Dzikowski ;/person/B%C5%82a%C5%BCej+Dzikowski-2347657;2347657
 Irena Szewczyk ;/person/Irena+Szewczyk-63156;63156
 Michał Klawiter ;/person/Micha%C5%82+Klawiter-2570241;2570241
 Mirosława Maludzińska ;/person/Miros%C5%82awa+Maludzi%C5%84ska-49961;49961
 Grzegorz Przybył ;/person/Grzegorz+Przyby%C5%82-406590;406590
 Lidia Bogaczówna ;/person/Lidia+Bogacz%C3%B3wna-44623;44623
 Bartłomiej Gliniak ;/person/Bart%C5%82omiej+Gliniak-12139;12139
 Szymon Roszak ;/person/Szymon+Roszak-2037567;2037567
 Ewa Decówna ;/person/Ewa+Dec%C3%B3wna-77360;77360
 Joanna Kołaczkowska ;/person/Joanna+Ko%C5%82aczkowska-129374;129374
 Marta Kalmus ;/person/Marta+Kalmus-63470;63470
 Adam Fiut ;/person/Adam+Fiut-48660;48660
 Elżbieta Komorowska ;/person/El%C5%BCbieta+Komorowska-80000;80000
 Maciej Bochniak ;/person/Maciej+Bochniak-1276059;1276059
 Jacek Hamela ;/person/Jacek+Hamela-363290;363290
 Joanna Kos-Krauze ;/person/Joanna+Kos+Krauze-139293;139293
 Marek Kępiński ;/person/Marek+K%C4%99pi%C5%84ski-47105;47105
 Stefan Każuro ;/person/Stefan+Ka%C5%BCuro-47135;47135
 Elżbieta Jagielska ;/person/El%C5%BCbieta+Jagielska-164756;164756
 Lech Majewski ;/person/Lech+Majewski-343;343
 Jagoda Szelc ;/person/Jagoda+Szelc-1628049;1628049
 Jan Laskowski ;/person/Jan+Laskowski-11981;11981
 Franz Waxman ;/person/Franz+Waxman-13100;13100
 Edyta Górniak ;/person/Edyta+G%C3%B3rniak-236272;236272
 Józef Kalita ;/person/J%C3%B3zef+Kalita-61157;61157
 Jerzy Walczak I ;/person/Jerzy+Walczak-83218;83218
 Zuzanna Lit ;/person/Zuzanna+Lit-1704775;1704775
 Małgorzata Maślanka ;/person/Ma%C5%82gorzata+Ma%C5%9Blanka-527220;527220
 Sebastian Dela ;/person/Sebastian+Dela-2705406;2705406
 Barbara Kubiak ;/person/Barbara+Kubiak-2000253;2000253
 Paulina Walendziak ;/person/Paulina+Walendziak-2415399;2415399
 Krzysztof Jasiński ;/person/Krzysztof+Jasi%C5%84ski-58018;58018
 Wojciech Rotowski ;/person/Wojciech+Rotowski-1001460;1001460
 Jolanta Dylewska ;/person/Jolanta+Dylewska-11953;11953
 Paweł Okoński ;/person/Pawe%C5%82+Oko%C5%84ski-86585;86585
 Maciej Odoliński ;/person/Maciej+Odoli%C5%84ski-91089;91089
 Krzysztof Respondek ;/person/Krzysztof+Respondek-62901;62901
 Olga Sawicka II ;/person/Olga+Sawicka-48367;48367
 Mieczysław Jahoda ;/person/Mieczys%C5%82aw+Jahoda-12025;12025
 Cezary Poks ;/person/Cezary+Poks-142640;142640
 Robert Wichrowski ;/person/Robert+Wichrowski-462127;462127
 Marzena Rogalska ;/person/Marzena+Rogalska-611316;611316
 Artur Reinhart ;/person/Artur+Reinhart-11191;11191
 Magda Margulewicz ;/person/Magda+Margulewicz-48154;48154
 Tomasz Lulek ;/person/Tomasz+Lulek-79261;79261
 Małgorzata Boratyńska ;/person/Ma%C5%82gorzata+Boraty%C5%84ska-59504;59504
 Grzegorz Gzyl ;/person/Grzegorz+Gzyl-336906;336906
 Jan Szurmiej ;/person/Jan+Szurmiej-54547;54547
 Piotr Marczewski ;/person/Piotr+Marczewski-12769;12769
 Dominik Matwiejczyk ;/person/Dominik+Matwiejczyk-121458;121458
 Stanisław Radwan ;/person/Stanis%C5%82aw+Radwan-5813;5813
 Andrzej Tkacz ;/person/Andrzej+Tkacz-1925333;1925333
 Piotr Łysak ;/person/Piotr+%C5%81ysak-60788;60788
 Marian Cebulski ;/person/Marian+Cebulski-64361;64361
 Dorota Kędzierzawska ;/person/Dorota+K%C4%99dzierzawska-418;418
 Izabella Kozłowska ;/person/Izabella+Koz%C5%82owska-8946;8946
 Piotr Cieślak ;/person/Piotr+Cie%C5%9Blak-8600;8600
 Monika Mazur ;/person/Monika+Mazur-527893;527893
 Czesław Byszewski ;/person/Czes%C5%82aw+Byszewski-50654;50654
 Piotr Trojan ;/person/Piotr+Trojan-1259111;1259111
 Witold Płóciennik ;/person/Witold+P%C5%82%C3%B3ciennik-49286;49286
 Mikołaj Łebkowski ;/person/Miko%C5%82aj+%C5%81ebkowski-393182;393182
 Magdalena Emilianowicz ;/person/Magdalena+Emilianowicz-130690;130690
 Jeremi Protas ;/person/Jeremi+Protas-1885646;1885646
 Grzegorz Skrzecz ;/person/Grzegorz+Skrzecz-231962;231962
 Iwona Sitkowska ;/person/Iwona+Sitkowska-317643;317643
 Filip Garbacz ;/person/Filip+Garbacz-988972;988972
 Andżelika Piechowiak ;/person/And%C5%BCelika+Piechowiak-195303;195303
 Lech Skolimowski ;/person/Lech+Skolimowski-56429;56429
 Remigiusz Jankowski ;/person/Remigiusz+Jankowski-433389;433389
 Bożena Baranowska ;/person/Bo%C5%BCena+Baranowska-47637;47637
 Halina Bednarz ;/person/Halina+Bednarz-136705;136705
 Helena Makowska-Fijewska II ;/person/Helena+Makowska+Fijewska-293749;293749
 Kristof Konrad ;/person/Kristof+Konrad-331526;331526
 Robert T. Majewski ;/person/Robert+T.+Majewski-131913;131913
 Olga Tokarczuk ;/person/Olga+Tokarczuk-117200;117200
 Dorota Lanton ;/person/Dorota+Lanton-31730;31730
 Jacek Bławut ;/person/Jacek+B%C5%82awut-42877;42877
 Sandra Korzeniak ;/person/Sandra+Korzeniak-579866;579866
 Anna Wunderlich ;/person/Anna+Wunderlich-12117;12117
 Marcin "Kot" Bastkowski ;/person/Marcin+%22Kot%22+Bastkowski-374280;374280
 Krzysztof Pakulski ;/person/Krzysztof+Pakulski-12000;12000
