name;link;number
 Przemysław Bluszcz ;/person/Przemys%C5%82aw+Bluszcz-174042;174042
 Roman Wilhelmi ;/person/Roman+Wilhelmi-42788;42788
 Wojciech Pszoniak ;/person/Wojciech+Pszoniak-460;460
 Wojciech Smarzowski ;/person/Wojciech+Smarzowski-347;347
 Wojciech Mecwaldowski ;/person/Wojciech+Mecwaldowski-209981;209981
 Roman Kłosowski ;/person/Roman+K%C5%82osowski-362;362
 Stanisława Celińska ;/person/Stanis%C5%82awa+Celi%C5%84ska-488;488
 Henryk Bista ;/person/Henryk+Bista-3390;3390
 Emil Karewicz ;/person/Emil+Karewicz-461;461
 Ryszard Kotys ;/person/Ryszard+Kotys-509;509
 Anna Dereszowska ;/person/Anna+Dereszowska-144128;144128
 Ryszard Filipski ;/person/Ryszard+Filipski-8890;8890
 Krzysztof Kiersznowski ;/person/Krzysztof+Kiersznowski-4890;4890
 Wojciech Zieliński II ;/person/Wojciech+Zieli%C5%84ski-130576;130576
 Wojciech Malajkat ;/person/Wojciech+Malajkat-432;432
 Zbigniew Buczkowski ;/person/Zbigniew+Buczkowski-351;351
 Jacek Rozenek ;/person/Jacek+Rozenek-40237;40237
 Jan Nowicki ;/person/Jan+Nowicki-491;491
 Cezary Żak ;/person/Cezary+%C5%BBak-366;366
 Aleksandra Konieczna I ;/person/Aleksandra+Konieczna-63720;63720
 Mariusz Dmochowski ;/person/Mariusz+Dmochowski-8674;8674
 Krzysztof Stelmaszyk ;/person/Krzysztof+Stelmaszyk-40236;40236
 Anna Dymna ;/person/Anna+Dymna-33;33
 Jerzy Turek ;/person/Jerzy+Turek-7027;7027
 Antoni Pawlicki ;/person/Antoni+Pawlicki-237005;237005
 Władysław Hańcza ;/person/W%C5%82adys%C5%82aw+Ha%C5%84cza-361;361
 Jan Wieczorkowski ;/person/Jan+Wieczorkowski-435;435
 Andrzej Zieliński I ;/person/Andrzej+Zieli%C5%84ski-7594;7594
 Bogumił Kobiela ;/person/Bogumi%C5%82+Kobiela-7056;7056
 Zdzisław Wardejn ;/person/Zdzis%C5%82aw+Wardejn-3451;3451
 Wojciech Pokora ;/person/Wojciech+Pokora-371;371
 Aleksandra Popławska ;/person/Aleksandra+Pop%C5%82awska-174043;174043
 Katarzyna Warnke ;/person/Katarzyna+Warnke-139201;139201
 Stanisław Milski I ;/person/Stanis%C5%82aw+Milski-8581;8581
 Tomasz Ziętek I ;/person/Tomasz+Zi%C4%99tek-1512760;1512760
 Janusz Kłosiński I ;/person/Janusz+K%C5%82osi%C5%84ski-7055;7055
 Paweł Królikowski ;/person/Pawe%C5%82+Kr%C3%B3likowski-9654;9654
 Krzysztof Kieślowski ;/person/Krzysztof+Kie%C5%9Blowski-250;250
 Tadeusz Janczar ;/person/Tadeusz+Janczar-8566;8566
 Małgorzata Socha ;/person/Ma%C5%82gorzata+Socha-7587;7587
 Beata Tyszkiewicz ;/person/Beata+Tyszkiewicz-406;406
 Jerzy Bończak ;/person/Jerzy+Bo%C5%84czak-492;492
 Bartosz Bielenia ;/person/Bartosz+Bielenia-1993954;1993954
 Dorota Kolak ;/person/Dorota+Kolak-44002;44002
 Gabriela Muskała ;/person/Gabriela+Muska%C5%82a-6961;6961
 Kazimierz Opaliński ;/person/Kazimierz+Opali%C5%84ski-8974;8974
 Zofia Wichłacz ;/person/Zofia+Wich%C5%82acz-1981401;1981401
 Lech Dyblik ;/person/Lech+Dyblik-3942;3942
 Aleksander Fogiel ;/person/Aleksander+Fogiel-7023;7023
 Józef Pawłowski I ;/person/J%C3%B3zef+Paw%C5%82owski-1516737;1516737
 Paweł Szczesny ;/person/Pawe%C5%82+Szczesny-50577;50577
 Marek Walczewski ;/person/Marek+Walczewski-8595;8595
 Małgorzata Foremniak ;/person/Ma%C5%82gorzata+Foremniak-434;434
 Edward Linde-Lubaszenko ;/person/Edward+Linde+Lubaszenko-4734;4734
 Jerzy Zelnik ;/person/Jerzy+Zelnik-440;440
 Grażyna Szapołowska ;/person/Gra%C5%BCyna+Szapo%C5%82owska-425;425
 Bożena Dykiel ;/person/Bo%C5%BCena+Dykiel-356;356
 Władysław Kowalski ;/person/W%C5%82adys%C5%82aw+Kowalski-453;453
 Juliusz Machulski ;/person/Juliusz+Machulski-70;70
 Tomasz Dedek ;/person/Tomasz+Dedek-3893;3893
 Grzegorz Pawlak I ;/person/Grzegorz+Pawlak-121050;121050
 Wojciech Siemion ;/person/Wojciech+Siemion-376;376
 Piotr Polk ;/person/Piotr+Polk-8940;8940
 Janusz Rewiński ;/person/Janusz+Rewi%C5%84ski-372;372
 Agnieszka Grochowska I ;/person/Agnieszka+Grochowska-95954;95954
 Jacek Kopczyński ;/person/Jacek+Kopczy%C5%84ski-139725;139725
 Aleksandra Hamkało ;/person/Aleksandra+Hamka%C5%82o-48151;48151
 Magdalena Różczka ;/person/Magdalena+R%C3%B3%C5%BCczka-114953;114953
 Ryszard Pietruski ;/person/Ryszard+Pietruski-6581;6581
 Leonard Pietraszak ;/person/Leonard+Pietraszak-407;407
 Danuta Szaflarska ;/person/Danuta+Szaflarska-3486;3486
 Jerzy Bińczycki ;/person/Jerzy+Bi%C5%84czycki-6844;6844
